,fsi,pc,pec,pcaes,mah,mah_inv,klc
0,1417.7458,1.0,-0.0,0.0,4.303233634595739,4.3032336,0.0
1,1718.3752,0.6980748,0.67905617,1586.128662109375,4.322254676270212,5.8252954,-147.4857
2,-61.969727,0.4663656,1.2777208,2305.87841796875,4.34147275287346,8.061912,-93.261444
3,-30.726746,0.35741907,1.666528,6777.5244140625,4.460620252132363,10.813522,-75.808014
4,15.702011,0.28283247,2.0017464,7323.20458984375,4.459668730701146,13.067129,-58.630043
5,981.5266,0.23851965,2.2509048,11975.326171875,6.098373349807912,22.864105,-50.711014
6,844.6123,0.20429596,2.4765477,14756.0126953125,4.546262856954507,17.976034,-43.281776
7,228.25977,0.18016592,2.6657948,18912.541015625,5.52843763925933,25.631067,-37.945583
8,9.031891,0.15787646,2.8418849,26325.21875,3.992946714686258,20.531576,-33.543198
9,4.61586,0.14393368,2.9873981,26746.005859375,4.849968864733124,27.266806,-30.4927
10,19.095917,0.13011642,3.1267953,35107.08203125,3.060558183756406,17.858692,-27.708038
11,25.604958,0.11988526,3.2512307,36156.359375,6.91624875343422,47.843388,-25.361876
12,269.29587,0.110201776,3.3665643,44096.1640625,3.6686020967840105,23.629738,-23.526827
13,21.030529,0.1027196,3.4724562,46518.30859375,8.653994227094769,70.94944,-21.85455
14,28.167427,0.09563784,3.574529,53640.22265625,3.3932797586030796,28.24242,-20.259779
15,14.478645,0.08973571,3.6665223,58192.50390625,8.081799200878605,75.691696,-19.052055
16,24.751068,0.084292464,3.7564662,65932.171875,6.858397078290274,60.712288,-17.80726
17,212.68195,0.07981792,3.8350952,72975.0625,4.241024134262347,38.444023,-17.020365
18,17.412178,0.07559577,3.9144,82746.3046875,3.482594784293338,37.807594,-16.059134
19,167.70949,0.071501076,3.990874,100299.40625,3.6623183996459496,36.939743,-15.190512
