,fsi,pc,pec,pcaes,mah,mah_inv,klc
0,229.45691,1.0,-0.0,0.0,2.3866064396844764,2.3866062,0.0
1,552.3592,0.78275365,0.51617765,1495.1002197265625,2.4805268547291455,3.3319423,-92.60294
2,543.76556,0.61058724,0.9710402,318604.15625,2.4745093046298483,4.2190633,-75.886734
3,-57.24961,0.5785995,1.1531904,294572.46875,2.483625422381431,4.7235913,-74.679375
4,1079.8899,0.51528794,1.3991394,67620.0078125,2.4910691267416794,5.2675977,-62.419563
5,-53.78714,0.41855606,1.7096324,96711.390625,2.4853682326395714,6.1019597,-49.501675
6,290.63553,0.38079438,1.8786998,123458.6640625,2.563184277730684,6.909602,-44.183735
7,-30.855228,0.37634936,1.9491565,361608.5625,2.4879610753749244,6.9379773,-44.409367
8,-55.230194,0.3663635,2.0570135,555927.875,2.470587332067146,7.0799775,-40.462967
9,289.46405,0.35296157,2.143739,1297813.75,2.45519695368631,7.6214867,-39.13169
10,-49.7218,0.3481165,2.2270484,1739751.625,2.4247323519669433,7.7592053,-36.24039
11,574.3826,0.32655042,2.3669438,1385289.25,2.4173616447399726,8.601741,-32.327812
12,89.57239,0.3004652,2.506666,695000.9375,2.521181115385223,9.635437,-29.366314
13,-51.894722,0.30612326,2.5161688,1196845.125,2.4369148118600585,9.575711,-29.472683
14,451.5776,0.3009743,2.5568848,1427882.625,2.4100588010641464,9.393456,-28.777153
15,342.95593,0.29933146,2.6346402,1842442.125,2.3197054809194304,9.44226,-26.489275
16,-27.180922,0.26886806,2.7968202,1183036.25,2.540089455596946,11.246459,-23.566431
17,-38.439552,0.27969888,2.7905943,2350047.25,2.411650116819826,11.303083,-23.472538
18,107.28363,0.2601911,2.8803473,2882681.25,2.4404463291726834,12.436142,-22.731401
19,-38.654087,0.25718552,2.9595165,3515204.75,2.3471639058704916,11.617701,-20.899551
